repair_id,candidate_id,blocker_type,severity,source_judge,required_evidence,allowed_resolution_actions,forbidden_resolution_actions,status,human_gate_required
P1F013-R001,GSE162577,patient_id_availability,high,Scientific Judge; Bioinformatics Judge,"Source-provided patient_id or donor_id and sample_id fields mapped to cells or samples","Review public GEO sample metadata; publication supplements; approved metadata tables only","Do not infer patient IDs from cell barcodes or filenames; do not download full datasets; do not approve dataset",unresolved,true
P1F013-R002,GSE162577,cell_type_annotation,medium,Bioinformatics Judge,"Explicit source metadata or processed-object documentation showing cell-type labels and annotation provenance","Review public GEO metadata; publication methods; supplementary tables; approved metadata manifests","Do not assume cell-type labels from assay type; do not run annotation; do not download full data",unresolved,true
P1F013-R003,GSE162577,gene_identifier_feasibility,medium,Bioinformatics Judge,"Source-documented gene identifier type and feature table compatibility for downstream pathway analysis","Review public supplementary file descriptions or approved manifest metadata","Do not infer gene identifiers from species or platform; do not download full matrix files before approval",unresolved,true
P1F013-R004,GSE137029,patient_id_availability,high,Scientific Judge,"Source-provided patient or donor IDs; sample IDs; cell/sample mapping sufficient for leakage-free splitting","Review GEO sample metadata; HCA project metadata; publication supplements; approved manifests","Do not infer patient IDs; do not use cell-level splitting; do not approve dataset",unresolved,true
P1F013-R005,GSE137029,label_provenance,high,Scientific Judge,"Exact source label field names; observed label values; label level; provenance for each candidate prediction task","Review public sample metadata; controlled metadata summaries; publication supplements","Do not guess labels from cohort name or accession; do not convert source text into patient labels without evidence",unresolved,true
P1F013-R006,GSE137029,activity_label_availability,high,Scientific Judge,"Source-provided SLEDAI; flare/remission; active/inactive; or equivalent activity labels at patient or sample level","Review source metadata and publication supplements for exact disease activity fields","Do not infer activity from study description; sample ordering; or disease status",unresolved,true
P1F013-R007,GSE137029,treatment_metadata,medium,Scientific Judge,"Source-provided medication; exposure; untreated/treated status; or documented missingness","Review public clinical metadata fields and publication supplements","Do not infer treatment from disease activity; cohort; or publication narrative",unresolved,true
P1F013-R008,GSE137029,batch_metadata,high,Scientific Judge; Bioinformatics Judge,"Source-provided batch; site; library; chemistry; cohort; and processing identifiers","Review GEO/HCA metadata and publication methods for exact batch variables","Do not infer batch from accession; sample order; or file names",unresolved,true
P1F013-R009,GSE137029,cohort_overlap_risk,high,Scientific Judge; Bioinformatics Judge,"Provenance map showing whether GEO; HCA; CELLxGENE; and publication records contain overlapping donors; samples; or cells","Compare source accessions; collection IDs; publication links; metadata manifests","Do not treat linked records as independent cohorts without deduplication evidence",pending_manual_review,true
P1F013-R010,GSE137029,external_validation_uncertainty,high,Scientific Judge,"Cohort independence; no donor/sample/cell overlap; compatible tissue; compatible assay; compatible labels; batch metadata","Build a source-supported cohort overlap and label compatibility table","Do not mark external_validation_ready; do not rely on random cell-level splits",unresolved,true
P1F013-R011,GSE174188,data_access_restriction,high,Scientific Judge; Bioinformatics Judge,"dbGaP access feasibility; allowed-use constraints; whether metadata can be reviewed under approved access","Review public dbGaP study page and access instructions; request human decision before any access step","Do not bypass access controls; do not download controlled data; do not assume usability",unresolved,true
P1F013-R012,GSE174188,raw_count_availability,high,Bioinformatics Judge,"Source-supported raw count location; access status; file type; allowed use","Review public metadata and dbGaP documentation; defer data access to human-approved gate","Do not assume raw counts from assay type; do not download raw files",unresolved,true
P1F013-R013,GSE174188,processed_object_availability,high,Scientific Judge; Bioinformatics Judge,"Source-supported processed object location; access conditions; format; allowed use","Review public GEO/dbGaP metadata and publication repository links","Do not treat controlled-access records as openly available; do not download processed objects",unresolved,true
P1F013-R014,GSE174188,label_provenance,high,Scientific Judge,"Source-provided disease; activity; treatment; and sample-level labels with provenance","Review public metadata summaries; publication supplements; human-approved dbGaP metadata","Do not infer labels from case/control counts or accession title",unresolved,true
P1F013-R015,436154da-bcf1-4130-9c8b-120ff9a888f2::218acb0f-9f2f-4f76-b90b-15a4b7c7f629,label_provenance,high,Scientific Judge; Bioinformatics Judge,"Exact CELLxGENE/HCA label fields; observed values; label level; provenance for donor/sample labels","Review CELLxGENE/HCA metadata and publication supplements without downloading full assets","Do not assume donor-level label usability from disease ontology terms alone",unresolved,true
P1F013-R016,436154da-bcf1-4130-9c8b-120ff9a888f2::218acb0f-9f2f-4f76-b90b-15a4b7c7f629,activity_label_availability,high,Scientific Judge,"Source-provided disease activity score; flare/remission status; or active/inactive label at donor or sample level","Review CELLxGENE/HCA metadata fields and publication supplements","Do not infer activity from disease term; donor ID; or study title",unresolved,true
P1F013-R017,436154da-bcf1-4130-9c8b-120ff9a888f2::218acb0f-9f2f-4f76-b90b-15a4b7c7f629,batch_metadata,high,Scientific Judge; Bioinformatics Judge,"Source-provided batch; library; processing; cohort; and site metadata sufficient for harmonization and leakage prevention","Review CELLxGENE/HCA metadata manifests and publication methods","Do not infer batch from donor ID pattern; collection ID; or dataset ID",unresolved,true
P1F013-R018,436154da-bcf1-4130-9c8b-120ff9a888f2::218acb0f-9f2f-4f76-b90b-15a4b7c7f629,cohort_overlap_risk,high,Scientific Judge; Bioinformatics Judge,"Source-supported overlap map across collection ID; dataset ID; HCA project; GEO accessions; donors; samples; and cells","Compare public accession links and metadata manifests; create deduplication table","Do not treat CELLxGENE/HCA as independent external validation before overlap is resolved",pending_manual_review,true
P1F013-R019,436154da-bcf1-4130-9c8b-120ff9a888f2::218acb0f-9f2f-4f76-b90b-15a4b7c7f629,cell_type_annotation,medium,Bioinformatics Judge,"Source-supported cell-type annotation fields; annotation method; ontology terms; compatibility with other candidates","Review CELLxGENE metadata and publication methods","Do not assume annotation quality or cross-dataset compatibility from label visibility alone",unresolved,true
