evidence_id,target_id,candidate_id,evidence_type,evidence_value,evidence_source,supports_requirement,verification_status,verified_by,notes,audit_status
P3F015-E001,CMI-001,GSE137029,series_design,"GEO states multiplexed scRNA-seq of PBMCs from 134 SLE cases and 58 healthy controls; 66 GEO Samples are listed","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137029","human single-cell case-control study context",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Study-level evidence only; it does not establish patient-level linkage",metadata_evidence_reviewed
P3F015-E002,CMI-001,GSE137029,sample_label_field,"GEO Sample characteristics expose field condition with inspected values SLE, healthy, and SLE flare","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065975; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065963; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065951","sample-level diagnosis/comparator label provenance",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Completeness across all 66 samples and patient-level linkage remain unverified",metadata_evidence_reviewed
P3F015-E003,CMI-001,GSE137029,patient_or_donor_identifier,"No explicit patient_id or donor_id field is displayed on the inspected GEO Series and representative Sample pages","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137029; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065975","patient/donor ID availability",unclear,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Absence from inspected pages does not prove absence from every metadata asset; no ID may be inferred from sample titles",metadata_evidence_reviewed
P3F015-E004,CMI-001,GSE137029,sample_to_patient_mapping,"GEO exposes GSM, BioSample, and SRA experiment relations but no explicit mapping from those records to individual patients on inspected pages","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065975; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065963","sample-to-patient linkage and leakage-safe grouping",blocked,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Sample titles and BioSample accessions are not treated as patient IDs",metadata_evidence_reviewed
P3F015-E005,CMI-002,GSE137029,processed_file_manifest,"GEO lists six processed files: flare and sle barcode TXT, gene TXT, and MTX matrices; displayed MTX sizes are 492.6 MB and 2.2 GB","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137029","processed object and storage feasibility",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","File contents were not downloaded or inspected",metadata_evidence_reviewed
P3F015-E006,CMI-002,GSE137029,raw_processed_availability,"GEO states raw data are available in SRA and processed data are available on the Series record","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137029","raw and processed availability",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Availability does not satisfy metadata linkage or QC approval",metadata_evidence_reviewed
P3F015-E007,CMI-003,GSE137029,sra_manifest,"SRP220690 exposes 66 public paired Illumina RNA records with GSM-to-SRX entries","https://www.ncbi.nlm.nih.gov/sra?term=SRP220690","run/sample manifest feasibility",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Run metadata does not expose patient linkage in the inspected summary",metadata_evidence_reviewed
P3F015-E008,CMI-001,GSE137029,processing_metadata,"GEO Samples state CellRanger processing, Demuxlet demultiplexing, aggregation across samples, and doublet removal","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4065975","QC feasibility",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","No patient-level QC table, thresholds, before/after counts, or human QC approval are exposed",metadata_evidence_reviewed
P3F015-E009,CMI-004,GSE137029,publication_cross_reference,"GEO cites PMID 33127880; NCBI publication metadata identifies it as Optimized design of single-cell RNA sequencing experiments for cell-type-specific eQTL analysis","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=33127880&retmode=json","publication provenance",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Publication metadata does not provide a patient-level identifier/label map for this review",metadata_evidence_reviewed
P3F015-E010,CMI-005,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,collection_identity,"Official CELLxGENE API exposes collection 436154da-bcf1-4130-9c8b-120ff9a888f2 and dataset 218acb0f-9f2f-4f76-b90b-15a4b7c7f629","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2","authoritative candidate identity",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Metadata API only; H5AD was not downloaded",metadata_evidence_reviewed
