check_id,requirement,status,blocking,required_evidence,current_evidence,next_action,audit_status
MRG-001,dataset selected,pending,true,"Explicit human-approved dataset assignment for the restricted SLE case-control task","P3-F019 designates CELLxGENE/HCA for primary-candidate validation only; no dataset has an approved role","Keep selected_datasets empty and complete P3-F020 validation before any selection request",readiness_strategy_decided
MRG-002,labels verified,pending,true,"Exact patient-level diagnosis and control labels values definitions linkage and source provenance","CELLxGENE/HCA donor-to-disease linkage is verified; GSE137029 remains limited to pooled sample labels and no dataset is selected","Carry candidate-specific evidence into P3-F019; do not mark project-level labels passed before dataset selection",readiness_expanded
MRG-003,patient/donor IDs verified,pending,true,"Verified patient or donor identifiers with sample and repeated-measure linkage","CELLxGENE/HCA has 261 donors and 274 samples with consistent mappings; GSE137029 has no person field","Use P3-F019 to decide whether CELLxGENE/HCA should replace GSE137029 as the primary candidate",readiness_expanded
MRG-004,split manifest ready,pending,true,"Populated patient donor or cohort-level split manifest with no cell-level assignments","The split manifest remains header-only because no dataset person IDs or patient-level labels are approved","Populate only after dataset ID label and repeated-sample verification; cell-level splitting remains forbidden",readiness_rechecked
MRG-005,leakage checks ready,pending,true,"All overlap duplicate cohort batch and label leakage checks pass on the approved split manifest","CELLxGENE/HCA internal mappings are consistent but exact GSE137029 cross-repository overlap and a real split remain unresolved","Do not execute leakage checks until P3-F019 selects a strategy and a patient/donor-level split exists",readiness_expanded
MRG-006,prediction task approved,passed,false,"Human Gate 2 approval for a specific task and scope","Human Gate 2 approved with restrictions for SLE diagnosis / case-control baseline design only","Preserve the restricted task; do not expand to blocked tasks",readiness_rechecked
MRG-007,training cohort selected,pending,true,"Explicitly approved training cohort with patient counts class balance access and provenance","CELLxGENE/HCA is the primary validation candidate but access QC split leakage features and human selection remain unresolved","Run P3-F020 validation without selecting a cohort or enabling modeling",readiness_strategy_decided
MRG-008,external validation plan documented,passed,false,"Documented independence compatibility overlap and evaluation criteria for future external validation","The protocol remains documented; exact GSE137029/CELLxGENE overlap is unresolved and no cohort is assigned","Keep external_validation_cohort TODO and require P3-F019 to identify an independent strategy",readiness_expanded
MRG-009,QC protocol approved,pending,true,"Human-approved QC thresholds and reports for the selected training data","Processing descriptions and file manifests exist but dataset-specific QC summaries thresholds exclusions and human approval do not","Obtain approved QC summaries thresholds before/after counts exclusions and named approval after dataset access is separately authorized",readiness_rechecked
MRG-010,feature manifest ready,pending,true,"Populated and audited patient-level pseudobulk or composition feature manifest","Feature manifests remain header-only and no approved dataset QC output person grouping or real features exist","Create audited patient-level features only after dataset QC IDs labels and split policy are approved",readiness_rechecked
MRG-011,evaluation protocol ready,passed,false,"Patient-level metric calibration leakage threshold and claim-safety contracts","Evaluation and calibration protocols exist are tested and were accepted with restrictions by the Scientific Judge","Finalize bootstrap threshold and ECE details before confirmatory evaluation",readiness_rechecked
